ISIN;YahooTicker;Name;Currency;Sector;Industry;Hight_52;Low_52;PeRatio;BookValue;PriceToBook;LastDividend;LastDividendYield;LastDividendDate;TSValue;KeyDate;TSDate;IndexName§  0        ;FirstDivYear;LastDivYear;DivIncreas;DivDecrease;DivGrowthSi;DivGrowthLast7;DivGrowthLast5;DivGrowthlast3;DivGrowthLast;DivYear_2017;DivYear_2018;DivYear_2019;DivYear_2020;DivYear_2021;PayoutYear_2017;PayoutYear_2018;PayoutYear_2019;PayoutYear_2020;PayoutYear_2021
US9182041080;VFC;VF;USD;Consumer Cyclical;Apparel Manufacturing;96.63;45.07;;7.553;11.3054;1.96;0.0229;2020-12-09;87.55;2021-01-14;2021-01-12;US Dividend Aristokrates, S&P500;1986;2020;32;2;2.5896291336532378;1.2400705680261843;0.5410904212846147;-0.05373138719056285;0.015666524578603565;2.03959;1.77968;1.90023;1.93;;1.3597266666666668;;0.5938218749999999;1.1352941176470588;
US91913Y1001;VLO;Valero Energy;USD;Energy;Oil & Gas Refining & Marketing;93.2;31.0;;47.141;1.2785;3.92;0.0679;2020-11-17;59.51;2021-01-14;2021-01-12;S&P500;1983;2020;25;4;40.84011100437613;3.7068994500612376;1.3058823529411763;0.4000000000000001;0.08888888888888884;2.8;3.2;3.6;3.92;;0.30434782608695654;0.4383561643835617;0.6206896551724138;;
US92220P1057;VAR;Varian Medical Systems;USD;Healthcare;Medical Instruments & Supplies;176.19;89.62;59.6156;22.758;7.70147;;;1998-12-02;175.68;2021-01-14;2021-01-12;S&P500;1985;1998;7;2;-0.8349397590361446;1.6251497005988023;1.0514740290126343;0.42894393741851367;0.11043566362715287;;;;;;;;;;
US92276F1003;VTR;Ventas;USD;Real Estate;REIT—Healthcare Facilities;63.38;13.35;53.4989;27.271;1.77735;1.8;0.0374;2020-12-31;46.7;2021-01-14;2021-01-12;S&P500;2000;2020;16;3;1.0622227354523321;-0.31384697154530117;-0.34349994485767155;-0.31203852327447845;-0.32440100882723844;3.115;3.163;3.172;2.143;;0.8197368421052632;2.875454545454545;2.6433333333333335;;
US92343E1029;VRSN;VeriSign;USD;Technology;Software—Infrastructure;221.3;148.77;28.2314;-12.132;;;;2011-05-05;198.58;2021-01-14;2021-01-12;S&P500, Berkshire Hathaway;2011;2011;0;0;0.0;;;;;;;;;;;;;;
US92343V1044;VZ;Verizon;USD;Communication Services;Telecom Services;61.95;48.84;12.905;15.724;3.62758;2.51;0.044;2021-01-07;57.26;2021-01-14;2021-01-12;DowJones, S&P500;1985;2021;27;6;0.06002295591114718;-0.7065420560747663;-0.7237131544214694;-0.7353560893383903;-0.7460574201374848;2.324;2.373;2.424;2.473;0.628;0.314054054054054;0.6244736842105264;0.5157446808510638;;
US92345Y1064;VRSK;Verisk Analytic a;USD;Industrials;Consulting Services;210.66;116.61;48.1211;14.877;13.0322;1.08;0.0055;2020-12-14;196.64;2021-01-14;2021-01-12;S&P500, Nasdaq;2020;2020;0;0;0.0;;;;;;;;;;;;;;
US92532F1003;VRTX;Vertex Pharmaceuticals;USD;Healthcare;Biotechnology;306.08;197.47;22.1599;31.262;7.23306;;;;229.38;2021-01-14;2021-01-12;Nasdaq, S&P500;;;;;;;;;;;;;;;;;;;
US92826C8394;V;Visa;USD;Financial Services;Credit Services;220.39;133.93;41.2971;14.649;13.7798;1.28;0.0061;2020-11-12;208.86;2021-01-14;2021-01-12;S&P500, Berkshire Hathaway, DowJones;2009;2020;10;1;10.09090909090909;2.510791366906475;1.44;0.7681159420289856;0.16190476190476183;0.69;0.88;1.05;1.22;;0.2464285714285714;0.19999999999999998;0.19811320754716982;;
US9290421091;VNO;Vornado Realty Trust;USD;Real Estate;REIT—Office;68.68;27.64;135.429;29.163;1.30028;2.12;0.0579;2020-11-06;35.91;2021-01-14;2021-01-12;S&P500;1991;2020;17;10;5.103659631215859;0.11408616847978716;0.1682701747496564;0.013654522687973278;-0.4814814814814815;2.34794;2.52;4.59;2.38;;;1.26;0.2833333333333333;;
US9291601097;VMC;Vulcan Materials;USD;Basic Materials;Building Materials;168.24;65.56;35.0469;44.758;3.58863;1.36;0.0084;2020-11-16;166.2;2021-01-14;2021-01-12;S&P500;1986;2020;24;7;-0.54004329004329;33.0;1.7200000000000002;0.3600000000000001;0.09677419354838718;1.0;1.12;1.24;1.36;;0.2222222222222222;0.2871794871794872;0.26956521739130435;;
US92939U1060;WEC;WEC Energy Group;USD;Utilities;Utilities—Regulated Electric;109.53;68.01;22.7979;33.131;2.62171;2.71;0.0308;2021-02-11;85.27;2021-01-14;2021-01-12;S&P500;1987;2020;27;4;4.368159942332563;0.7510373443983404;0.051425154474785705;0.21730769230769229;0.07288135593220346;2.08;2.212;2.36;2.532;;0.5473684210526316;0.6703030303030304;0.6555555555555556;;
US9311421039;WMT;Walmart;USD;Consumer Defensive;Discount Stores;153.66;102.0;21.2078;28.764;5.10951;2.16;0.0146;2020-12-10;148.97;2021-01-14;2021-01-12;DowJones, S&P500, US Dividend Aristokrates;1975;2020;43;2;8306.692307692309;0.1489361702127661;0.10204081632653071;-0.1529411764705881;0.018867924528301903;2.55;2.08;2.12;2.16;;0.5795454545454545;0.6303030303030304;0.9217391304347827;0.4153846153846154;
US9314271084;WBA;Walgreens Boots Alliance;USD;Healthcare;Pharmaceutical Retailers;54.79;33.36;;23.219;2.12412;1.87;0.039;2020-11-18;47.96;2021-01-14;2021-01-12;Nasdaq, US Dividend Aristokrates, DowJones, S&P500;1986;2020;32;2;57.111076247254466;0.5694915254237289;0.3266475644699142;0.19483870967741937;0.031180400890868622;1.55;1.68;1.796;1.852;;0.4078947368421053;0.32941176470588235;0.4176744186046512;;
US94106L1098;WM;Waste Management;USD;Industrials;Waste Management;126.79;85.34;32.375;16.931;6.77101;2.3;0.0198;2020-12-03;116.4;2021-01-14;2021-01-12;S&P500;1999;2020;17;0;217.00000000000003;0.493150684931507;0.41558441558441567;0.2823529411764707;0.06237816764132559;1.7;1.86;2.052;2.18;;0.3863636363636363;0.41333333333333333;0.5261538461538462;;
US9418481035;WAT;Waters;USD;Healthcare;Diagnostics & Research;269.4;154.39;32.756;-0.67;;;;1996-11-26;266.51;2021-01-14;2021-01-12;S&P500;1996;1996;0;0;0.0;;;;;;;;;;;;;;
US9497461015;WFC;Wells Fargo &;USD;Financial Services;Banks—Diversified;49.88;20.76;91.2073;38.947;0.892238;0.4;0.0118;2020-11-05;33.94;2021-01-14;2021-01-12;S&P500, Berkshire Hathaway;1973;2020;40;3;36.79429987608425;0.06086956521739136;-0.17288135593220347;-0.20779220779220783;-0.3645833333333333;1.54;1.64;1.92;1.22;;0.37560975609756103;0.38139534883720927;0.4682926829268293;;
US95040Q1040;WELL;Welltower;USD;Real Estate;REIT—Healthcare Facilities;89.99;24.27;25.4954;38.6;1.64663;2.44;0.0382;2020-11-09;61.09;2021-01-14;2021-01-12;S&P500;1986;2020;26;4;0.7532467532467533;-0.11764705882352937;-0.1818181818181817;-0.2241379310344827;-0.2241379310344827;3.48;3.48;3.48;2.7;;2.6769230769230767;1.74;1.16;;
US9581021055;WDC;Western Digital;USD;Technology;Computer Hardware;72.0;27.4;;31.5;1.59905;;;2020-04-02;49.9;2021-01-14;2021-01-12;S&P500;2013;2020;2;3;-0.2592592592592593;-0.2592592592592593;-0.7058823529411765;-0.5;-0.3333333333333333;2.0;2.0;1.5;1.0;;1.5384615384615383;0.9090909090909091;-0.5769230769230769;;
US9598021098;WU;The Western Union Company;USD;Financial Services;Credit Services;28.45;17.39;12.8014;0.163;132.883;0.9;0.0402;2020-12-18;22.41;2021-01-14;2021-01-12;S&P500;2007;2020;11;0;21.5;0.8;0.4516129032258065;0.2857142857142858;0.12499999999999997;0.7;0.76;0.8;0.9;;-0.5833333333333334;0.4;0.32;;
US96145D1054;WRK;WestRock;USD;Consumer Cyclical;Packaging & Containers;47.77;21.5;;40.824;1.14834;0.8;0.017;2020-11-12;47.25;2021-01-14;2021-01-12;S&P500;2016;2020;3;1;-0.26589188965631333;;;-0.34662576687116564;-0.418032786885246;1.63;1.745;1.83;1.065;;0.5821428571428572;0.23904109589041098;0.5545454545454546;-0.3944444444444444;
