CH0012221716;ABB (Asea Brown Boveri;abb;ABBN.SW;Common Stock;Equity
CH0029850754;Addex Therapeutics;addex_therapeutics;ADXN.SW;Common Stock;Equity
CH0012138605;Adecco SA;adecco;ADEN.SW;Common Stock;Equity
CH0008967926;Adval Tech;adval_tech;ADVN.SW;Common Stock;Equity
CH0010947627;AIRESIS;airesis;AIRE.SW;Common Stock;Equity
CH0432492467;Alcon;alcon;ALC.SW;Common Stock;Equity
CH0008837566;Allreal;allreal;ALLN.SW;Common Stock;Equity
CH0024590272;ALSO;also;ALSN.SW;Common Stock;Equity
AT0000A18XM4;ams;ams;AMS.SW;Common Stock;Equity
CH0019107025;APG SGA;apg_sga;APGN.SW;Common Stock;Equity
CH0110240600;Arbonia;arbonia;ARBN.SW;Common Stock;Equity
CH0002271010;Arundel;arundel;ARON.SW;Common Stock;Equity
CH0043238366;ARYZTA;aryzta;ARYN.SW;Common Stock;Equity
CH0011339204;Ascom;ascom;ASCN.SW;Common Stock;Equity
CH0404880129;ASMALLWORLD;asmallworld;ASWN.SW;Common Stock;Equity
CH0127480363;Autoneum;autoneum;AUTN.SW;Common Stock;Equity
CH0012530207;Bachem;bachem;BANB.SW;Common Stock;Equity
CH0012410517;Bâloise;bâloise;BALN.SW;Common Stock;Equity
CH0001307757;Bank Linth LLB;bank_linth_llb;LINN.SW;Common Stock;Equity
CH0350494719;Banque Cantonale de Geneve;banque_cantonale_de_geneve;BCGE.SW;Common Stock;Equity
CH0350665672;Banque Cantonale du Jura SA;banque_cantonale_du_jura_sa;BCJ.SW;Common Stock;Equity
CH0009002962;Barry Callebaut;barry_callebaut;BARN.SW;Common Stock;Equity
CH0001473559;Basellandschaftliche Kantonalbank (BLKB;basellandschaftliche_kantonalbank;BLKB.SW;Common Stock;Equity
CH0011432447;Basilea Pharmaceutica;basilea;BSLN.SW;Common Stock;Equity
CH0038389992;BB Biotech;bb_biotech;BION.SW;Closed-End Fund;Equity
CH0001503199;BELIMO;belimo;BEAN.SW;Common Stock;Equity
CH0315966322;Bell;bell;BELL.SW;Common Stock;Equity
CH0028422100;Bellevue;bellevue;BBN.SW;Common Stock;Equity
CH0009691608;Berner Kantonalbank (BEKB);berner_kantonalbank;BEKN.SW;Common Stock;Equity
CH0018206117;BFW Liegenschaften;bfw_liegenschaften;BLIN.SW;Common Stock;Equity
CH0130293662;BKW;bkw;BKW.SW;Common Stock;Equity
CH0012684657;Bobst;bobst;BOBNN.SW;Common Stock;Equity
CH0238627142;Bossard;bossard;BOSN.SW;Common Stock;Equity
CH0002432174;Bucher Industries;bucher_industries;BUCN.SW;Common Stock;Equity
CH0025536027;Burckhardt Compression;burckhardt_compression;BCHN.SW;Common Stock;Equity
CH0212255803;Burkhalter;burkhalter;BRKN.SW;Common Stock;Equity
CH0008207356;BVZ;bvz;BVZN.SW;Common Stock;Equity
CH0126639464;Calida;calida;CALN.SW;Common Stock;Equity
CH0011003594;Carlo Gavazzi;carlo_gavazzi;GAV.SW;Common Stock;Equity
IT0005108359;Cassiopea;cassiopea;SKIN.SW;Common Stock;Equity
CH0225173167;Cembra Money Bank;cembra_money_bank;CMBN.SW;Common Stock;Equity
CH0001625810;CI Com SA;ci_com;CIE.SW;Common Stock;Equity
CH0008702190;Cicor Technologies;cicor_technologies;CICN.SW;Common Stock;Equity
CH0014345117;Compagnie Financiere Tradition;compagnie_financiere_tradition;CFT.SW;Common Stock;Equity
CH0210483332;Richemont;richemont;CFR.SW;Common Stock;Equity
CH0009236461;Basler Kantonalbank Partizipsch;basler_kantonalbank;BSKP.SW;Common Stock;Equity
CH0012142631;Clariant;clariant;CLN.SW;Common Stock;Equity
CH0025343259;COLTENE;coltene;CLTN.SW;Common Stock;Equity
CH0360826991;Comet;comet;COTN.SW;Common Stock;Equity
CH0244017502;Conzzet a;conzzeta;CON.SW;Common Stock;Equity
NL0011832936;COSMO Pharmaceuticals;cosmo_pharmaceuticals;COPN.SW;Common Stock;Equity
CH0001624714;CPH Chemie & Papier;cph_chemie_papier;CPHN.SW;Common Stock;Equity
CH0011115703;Crealogix;crealogix;CLXN.SW;Common Stock;Equity
CH0012138530;Credit Suisse (CS;credit_suisse;CSGN.SW;Common Stock;Equity
CH0030486770;Dätwyler;daetwyler;DAE.SW;Common Stock;Equity
CH0126673539;DKSH;dksh;DKSH.SW;Common Stock;Equity
CH0011795959;dormakaba;dormakaba;DOKA.SW;Common Stock;Equity
CH0023405456;Dufry;dufry;DUFN.SW;Common Stock;Equity
CH0024736404;Edisun Power Europe;edisun_power_europe;ESUN.SW;Common Stock;Equity
CH0022268228;EFG International;efg_international;EFGN.SW;Common Stock;Equity
CH0005319162;Elma Electronic;elma_electronic;ELMN.SW;Common Stock;Equity
CH0012829898;Emmi;emmi;EMMN.SW;Common Stock;Equity
CH0016440353;EMS-CHEMIE;ems-chemie;EMSN.SW;Common Stock;Equity
CH0021218067;Evolva;evolva;EVE.SW;Common Stock;Equity
CH0009320091;Feintool International;feintool_international;FTON.SW;Common Stock;Equity
CH0319416936;Flughafen Zuerich;flughafen_zuerich_2;FHZN.SW;Common Stock;Equity
CH0003541510;Forbo International;forbo_international;FORN.SW;Common Stock;Equity
CH0360674466;Galenica;galenica;GALE.SW;Common Stock;Equity
CH0102659627;GAM;gam;GAM.SW;Common Stock;Equity
CH0030170408;Geberit;geberit;GEBN.SW;Common Stock;Equity
CH0001752309;Georg Fischer;georg_fischer;FI-N.SW;Common Stock;Equity
CH0010645932;Givaudan;givaudan;GIVN.SW;Common Stock;Equity
