GB00B1YW4409;3i;3i;III.L;Common Stock;Equity
GB00B02J6398;Admiral Group;admiral_group;ADM.L;Common Stock;Equity
GB00B1XZS820;Anglo American;anglo_american;AAL.L;Common Stock;Equity
GB0000456144;Antofagasta;antofagasta;ANTO.L;Common Stock;Equity
GB0000536739;Ashtead;ashtead;AHT.L;Common Stock;Equity
GB0006731235;Associated British Foods;associated_british_foods;ABF.L;Common Stock;Equity
GB0009895292;AstraZeneca;astrazeneca;AZN.L;Common Stock;Equity
GB00BVYVFW23;Auto Trader Group;auto_trader_group;AUTO.L;Common Stock;Equity
GB00BBG9VN75;Aveva Group;aveva_group_1;AVV.L;Common Stock;Equity
GB0002162385;Aviva;aviva;AV/.L;Common Stock;Equity
GB0002634946;BAE Systems;bae_systems;BA/.L;Common Stock;Equity
GB0031348658;Barclays;barclays;BARC.L;Common Stock;Equity
GB0000811801;Barratt Developments;barratt_developments;BDEV.L;Common Stock;Equity
GB0002875804;BAT;bat;BATS.L;Common Stock;Equity
GB00BH0P3Z91;BHP Group;bhp;BHP.L;Common Stock;Equity
GB0007980591;BP;bp;BP/.L;Common Stock;Equity
GB0001367019;British Land Company;british_land_company;BLND.L;REIT;Equity
GB0030913577;BT Group;bt;BT/A.L;Common Stock;Equity
GB00B0744B38;Bunzl;bunzl;BNZL.L;Common Stock;Equity
GB0031743007;Burberry;burberry;BRBY.L;Common Stock;Equity
GB0031215220;Carnival;carnival;CCL.L;Common Stock;Equity
GB00B033F229;Centrica;centrica;CNA.L;Common Stock;Equity
CH0198251305;Coca-Cola HBC;coca-cola_hbc_1;CCH.L;Common Stock;Equity
GB00BD6K4575;Compass Group;compass;CPG.L;Common Stock;Equity
IE0001827041;CRH;crh;CRH.L;Common Stock;Equity
GB0008220112;D S Smith;ds_smith;SMDS.L;Common Stock;Equity
IE0002424939;DCC;dcc;DCC.L;Common Stock;Equity
GB0002374006;Diageo;diageo;DGE.L;Common Stock;Equity
GB00B7KR2P84;easyJet;easyjet;EZJ.L;Common Stock;Equity
GB00B71N6K86;EVRAZ;evraz;EVR.L;Common Stock;Equity
GB00B19NLV48;Experian;experian_1;EXPN.L;Common Stock;Equity
IE00BWT6H894;Flutter Entertainment;flutter_entertainment_1;FLTR.L;Common Stock;Equity
GB00B2QPKJ12;Fresnillo;fresnillo;FRES.L;Common Stock;Equity
GB0009252882;GlaxoSmithKline;glaxosmithkline;GSK.L;Common Stock;Equity
JE00B4T3BW64;Glencore;glencore;GLEN.L;Common Stock;Equity
GB0004052071;Halma;halma_2;HLMA.L;Common Stock;Equity
GB00B1VZ0M25;Hargreaves Lansdown;hargreaves_lansdown;HL/.L;Common Stock;Equity
GB00B0LCW083;Hikma Pharmaceuticals;hikma_pharmaceuticals;HIK.L;Common Stock;Equity
GB0005405286;HSBC;hsbc;HSBA.L;Common Stock;Equity
GB0004544929;Imperial Brands;imperial_brands;IMB.L;Common Stock;Equity
GB00BMJ6DW54;Informa;informa_5;INF.L;Common Stock;Equity
GB00BHJYC057;InterContinental Hotels Group;intercontinental_hotels;IHG.L;Common Stock;Equity
GB00BYT1DJ19;Intermediate Capital Group;intermediate_capital_group_2;ICP.L;Common Stock;Equity
ES0177542018;International Consolidated Airlines;international_consolidated_airlines;IAG.L;Common Stock;Equity
GB0031638363;Intertek;intertek;ITRK.L;Common Stock;Equity
GB0033986497;ITV;itv;ITV.L;Common Stock;Equity
GB00BYX91H57;JD Sports Fashion;jd_sports_fashion_3;JD/.L;Common Stock;Equity
GB00B02L3W35;The Berkeley Group;the_berkeley_group;BKG.L;Common Stock;Equity
GB00B019KW72;J Sainsbury;j_sainsbury;SBRY.L;Common Stock;Equity
GB00BZ4BQC70;Johnson Matthey;johnson_matthey_5;JMAT.L;Common Stock;Equity
NL0012015705;Just Eat Takeawaycom;just_eat_takeaway;JET.L;Common Stock;Equity
GB00BYW0PQ60;Land Securities Group;land_securities;LAND.L;REIT;Equity
GB0005603997;Legal & General;legalgeneral;LGEN.L;Common Stock;Equity
GB0008706128;Lloyds Banking Group;lloyds_banking;LLOY.L;Common Stock;Equity
GB00B0SWJX34;London Stock Exchange (LSE;london_stock_exchange;LSE.L;Common Stock;Equity
GB00BKFB1C65;M&G;m_g;MNG.L;Common Stock;Equity
GB0005758098;Meggitt;meggitt;MGGT.L;Common Stock;Equity
GB00BZ1G4322;Melrose Industries;melrose_industries_3;MRO.L;Common Stock;Equity
GB00B1CRLC47;Mondi;mondi;MNDI.L;Common Stock;Equity
GB00BDR05C01;National Grid;national_grid;NG/.L;Common Stock;Equity
GB0032089863;Next;next;NXT.L;Common Stock;Equity
GB00B3MBS747;Ocado Group;ocado_group;OCDO.L;Common Stock;Equity
GB0006776081;Pearson;pearson;PSON.L;Common Stock;Equity
GB00B18V8630;Pennon Group;pennon_group;PNN.L;Common Stock;Equity
GB0006825383;Persimmon;persimmon;PSN.L;Common Stock;Equity
GB00BGXQNP29;Phoenix Group;phoenix_group;PHNX.L;Common Stock;Equity
JE00B6T5S470;Polymetal;polymetal;POLY.L;Common Stock;Equity
GB0007099541;Prudential;prudential;PRU.L;Common Stock;Equity
GB00B7T77214;RBS (Royal Bank of Scotland;rbs;RBS.L;Common Stock;Equity
GB00B24CGK77;Reckitt Benckiser;reckitt_benckiser;RB/.L;Common Stock;Equity
GB00B2B0DG97;RELX;relx_plc;REL.L;Common Stock;Equity
GB00B082RF11;Rentokil Initial;rentokil_initial;RTO.L;Common Stock;Equity
GB00BGDT3G23;Rightmove;rightmove_3;RMV.L;Common Stock;Equity
